Name,Voxel Count
Cuneiform nucleus,330.0
Nucleus of the optic tract,131.0
Nucleus of the posterior commissure,263.0
Olivary pretectal nucleus,76.0
Ventral tegmental area,747.0
Ventral tegmental nucleus,51.0
Periaqueductal gray,5104.0
"Inferior colliculus, central nucleus",1684.0
"Inferior colliculus, dorsal nucleus",1149.0
"Inferior colliculus, external nucleus",2991.0
Dorsal nucleus raphe,145.0
Parabigeminal nucleus,64.0
Edinger-Westphal nucleus,26.0
Pedunculopontine nucleus,458.0
Posterior pretectal nucleus,58.0
Inferior colliculus,0.0
Subcommissural organ,0.0
Paranigral nucleus,0.0
Medial accesory oculomotor nucleus,0.0
Paratrochlear nucleus,0.0
Dorsal terminal nucleus of the accessory optic tract,0.0
Medial terminal nucleus of the accessory optic tract,0.0
Parataenial nucleus,118.0
Paraventricular nucleus of the thalamus,615.0
Nucleus of reunions,716.0
Rhomboid nucleus,221.0
Central lateral nucleus of the thalamus,285.0
Central medial nucleus of the thalamus,390.0
Paracentral nucleus,199.0
Parafascicular nucleus,496.0
Xiphoid thalamic nucleus,0.0
Posterior intralaminar thalamic nucleus,0.0
Accessory olfactory bulb,571.0
Anterior olfactory nucleus,3951.0
Main olfactory bulb,16978.0
Postpiriform transition area,1069.0
Taenia tecta,1734.0
Nucleus of the lateral olfactory tract,389.0
"Cortical amygdalar area, anterior part",521.0
"Cortical amygdalar area, posterior part",1915.0
Piriform-amygdalar area,647.0
Dorsal peduncular area,335.0
Piriform area,12933.0
Bed nucleus of the anterior commissure,5.0
Magnocellular nucleus,376.0
Substantia innominata,3297.0
Bed nuclei of the stria terminalis,1481.0
Medial septal nucleus,691.0
Triangular nucleus of septum,159.0
Diagonal band nucleus,1168.0
"Globus pallidus, external segment",1807.0
"Globus pallidus, internal segment",324.0
Pontine reticular nucleus,2827.0
Locus ceruleus,49.0
Laterodorsal tegmental nucleus,133.0
Nucleus raphe pontis,62.0
Subceruleus nucleus,34.0
Sublaterodorsal nucleus,76.0
Nucleus incertus,125.0
Superior central nucleus raphe,584.0
Barrington's nucleus,32.0
Supragenual nucleus,18.0
Supratrigeminal nucleus,164.0
Tegmental reticular nucleus,669.0
Motor nucleus of trigeminal,493.0
Dorsal tegmental nucleus,97.0
Pontine central gray,652.0
Pontine gray,705.0
"Pontine reticular nucleus, caudal part",3159.0
Posterodorsal tegmental nucleus,0.0
Peritrigeminal zone,0.0
Intertrigeminal nucleus,0.0
Principal sensory nucleus of the trigeminal,1093.0
Superior olivary complex,819.0
Nucleus of the lateral lemniscus,753.0
Parabrachial nucleus,832.0
"Spinal nucleus of the trigeminal, caudal part",806.0
"Spinal nucleus of the trigeminal, interpolar part",1707.0
"Spinal nucleus of the trigeminal, oral part",594.0
Anterior amygdalar area,624.0
Nucleus accumbens,4904.0
"Lateral septal nucleus, caudal (caudodorsal) part",690.0
"Lateral septal nucleus, rostral (rostroventral) part",2398.0
"Lateral septal nucleus, ventral part",113.0
Bed nucleus of the accessory olfactory tract,61.0
Septofimbrial nucleus,230.0
Septohippocampal nucleus,87.0
Medial amygdalar nucleus,1493.0
Central amygdalar nucleus,1236.0
Caudoputamen,23893.0
Olfactory tubercle,4066.0
Fundus of striatum,331.0
Intercalated amygdalar nucleus,180.0
Reticular nucleus of the thalamus,1395.0
Intergeniculate leaflet of the lateral geniculate complex,98.0
Intermediodorsal nucleus of the thalamus,213.0
Anterodorsal nucleus,155.0
Lateral dorsal nucleus of thalamus,947.0
Dorsal part of the lateral geniculate complex,605.0
Ventral part of the lateral geniculate complex,409.0
Lateral habenula,307.0
Lateral posterior nucleus of the thalamus,856.0
Anteroventral nucleus of thalamus,385.0
Subgeniculate nucleus,24.0
Suprageniculate nucleus,106.0
Mediodorsal nucleus of thalamus,1193.0
Submedial nucleus of the thalamus,202.0
"Subparafascicular nucleus, magnocellular part",77.0
"Subparafascicular nucleus, parvicellular part",279.0
Medial habenula,225.0
Subparafascicular area,73.0
Ventral anterior-lateral complex of the thalamus,1196.0
